Entry,global_step,lr,test_accuracy,train_log_likelihood
0,5000,0.0063095735,0.9748,-2344879.134765625
1,10000,0.0039810715,0.9782,-1990841.2182617188
2,15000,0.0025118869,0.9802,-1765203.404296875
3,20000,0.0015848934,0.9826,-1551390.0107421875
4,25000,0.001,0.9817,-1468629.1655273438
5,30000,0.0006309575,0.9826,-1385161.8974609375
6,35000,0.0003981072,0.9833,-1350121.6235351562
7,40000,0.0002511887,0.9834,-1325737.9809570312
8,45000,0.00015848932,0.9833,-1312593.423828125
9,50000,0.000100000005,0.9839,-1299392.3427734375
10,55000,6.309573e-05,0.984,-1293794.9150390625
11,60000,3.981073e-05,0.9843,-1290877.5004882812
12,65000,2.511887e-05,0.9842,-1287643.7451171875
13,70000,1.5848935e-05,0.9842,-1285573.82421875
14,75000,1.0000001e-05,0.9842,-1284808.9184570312
