Entry,global_step,lr,test_accuracy,train_log_likelihood
0,25000,0.0056234132,0.9736,-1603967.73828125
1,50000,0.0031622776,0.9757,-1437407.4853515625
2,75000,0.0017782793,0.9765,-1340116.498046875
3,100000,0.001,0.9772,-1216720.1840820312
4,125000,0.0005623413,0.9772,-1176302.2192382812
5,150000,0.0003162278,0.9783,-1144243.0688476562
6,175000,0.00017782794,0.9784,-1130061.80859375
7,200000,0.000100000005,0.9777,-1121703.1567382812
8,225000,5.6234137e-05,0.9778,-1112245.8403320312
9,250000,3.1622774e-05,0.9778,-1109827.70703125
10,275000,1.7782793e-05,0.9777,-1109045.1948242188
11,300000,1.0000001e-05,0.9778,-1108196.9975585938
