Entry,global_step,test_accuracy
0,25000,0.6302
1,50000,0.6699
2,75000,0.6835
3,100000,0.6935
4,125000,0.7342
5,150000,0.7304
6,175000,0.7343
7,200000,0.7321
8,225000,0.7339
9,250000,0.7336
