Entry,global_step,test_accuracy
0,25000,0.5665
1,50000,0.5818
2,75000,0.5854
3,100000,0.589
4,125000,0.6141
5,150000,0.6184
6,175000,0.6175
7,200000,0.6168
8,225000,0.6175
9,250000,0.6175
