Entry,global_step,test_accuracy
0,25000,0.4929
1,50000,0.5105
2,75000,0.5183
3,100000,0.5207
4,125000,0.5305
5,150000,0.5323
6,175000,0.5337
7,200000,0.5346
8,225000,0.536
9,250000,0.5373
