Entry,global_step,lr,test_accuracy,train_log_likelihood
0,5000,0.0063095735,0.9773,-2237354.025390625
1,10000,0.0039810715,0.9809,-1813620.6630859375
2,15000,0.0025118869,0.9834,-1582723.8686523438
3,20000,0.0015848934,0.9848,-1391717.1030273438
4,25000,0.001,0.984,-1309170.2924804688
5,30000,0.0006309575,0.9847,-1235956.3681640625
6,35000,0.0003981072,0.9857,-1197258.1372070312
7,40000,0.0002511887,0.9858,-1164718.4794921875
8,45000,0.00015848932,0.9857,-1145715.2036132812
9,50000,0.000100000005,0.9858,-1134630.9350585938
10,55000,6.309573e-05,0.9859,-1128680.4638671875
11,60000,3.981073e-05,0.9861,-1125540.5922851562
12,65000,2.511887e-05,0.9858,-1123110.76171875
13,70000,1.5848935e-05,0.9859,-1121206.5341796875
14,75000,1.0000001e-05,0.9858,-1120324.2509765625
