Entry,global_step,lr,test_accuracy,train_log_likelihood
0,25000,0.0056234132,0.9731,-1083629.4794921875
1,50000,0.0031622776,0.9762,-940149.185546875
2,75000,0.0017782793,0.9764,-853168.8647460938
3,100000,0.001,0.9772,-813815.6274414062
4,125000,0.0005623413,0.9773,-760787.9809570312
5,150000,0.0003162278,0.9776,-748373.4765625
6,175000,0.00017782794,0.9778,-738417.7963867188
7,200000,0.000100000005,0.9777,-729310.3393554688
8,225000,5.6234137e-05,0.9777,-725983.1220703125
9,250000,3.1622774e-05,0.9781,-723538.7724609375
10,275000,1.7782793e-05,0.9777,-722695.388671875
11,300000,1.0000001e-05,0.9775,-722355.6362304688
