Entry,global_step,lr,test_accuracy,train_log_likelihood
0,25000,0.0056234132,0.9709,-597223.224609375
1,50000,0.0031622776,0.9738,-517941.1455078125
2,75000,0.0017782793,0.9728,-486292.90234375
3,100000,0.001,0.9739,-463589.35009765625
4,125000,0.0005623413,0.9742,-439474.1787109375
5,150000,0.0003162278,0.9742,-430307.4912109375
6,175000,0.00017782794,0.9749,-426885.5322265625
7,200000,0.000100000005,0.9746,-421644.693359375
8,225000,5.6234137e-05,0.9746,-420199.71826171875
9,250000,3.1622774e-05,0.9751,-419274.087890625
10,275000,1.7782793e-05,0.9748,-418680.66162109375
11,300000,1.0000001e-05,0.9749,-418343.00146484375
