Entry,global_step,lr,test_accuracy,train_log_likelihood
0,25000,0.0056234132,0.9584,-78712.35961914062
1,50000,0.0031622776,0.9582,-63784.03662109375
2,75000,0.0017782793,0.9587,-60966.898681640625
3,100000,0.001,0.9581,-58164.47644042969
4,125000,0.0005623413,0.9594,-55840.71325683594
5,150000,0.0003162278,0.9583,-55235.666748046875
6,175000,0.00017782794,0.959,-54739.72204589844
7,200000,0.000100000005,0.9584,-54356.353271484375
8,225000,5.6234137e-05,0.9583,-54097.57507324219
9,250000,3.1622774e-05,0.9584,-54003.73645019531
10,275000,1.7782793e-05,0.9581,-53967.675048828125
11,300000,1.0000001e-05,0.9582,-53940.13171386719
