Entry,global_step,lr,test_accuracy,train_log_likelihood
0,5000,0.0063095735,0.966,-3142740.3369140625
1,10000,0.0039810715,0.9683,-2777858.6005859375
2,15000,0.0025118869,0.9705,-2643523.125
3,20000,0.0015848934,0.9733,-2369646.904296875
4,25000,0.001,0.9737,-2292455.318359375
5,30000,0.0006309575,0.9757,-2206536.41015625
6,35000,0.0003981072,0.9763,-2166359.2392578125
7,40000,0.0002511887,0.9769,-2131446.4560546875
8,45000,0.00015848932,0.9761,-2110953.86328125
9,50000,0.000100000005,0.9773,-2101814.486328125
10,55000,6.309573e-05,0.9772,-2099943.84765625
11,60000,3.981073e-05,0.9773,-2092084.7197265625
12,65000,2.511887e-05,0.9772,-2087870.287109375
13,70000,1.5848935e-05,0.9769,-2086447.93359375
14,75000,1.0000001e-05,0.9769,-2085774.9150390625
