Entry,global_step,lr,test_accuracy,train_log_likelihood
0,25000,0.0056234132,0.944,-18506.844360351562
1,50000,0.0031622776,0.9436,-16760.96435546875
2,75000,0.0017782793,0.9426,-15817.272827148438
3,100000,0.001,0.9411,-15370.714477539062
4,125000,0.0005623413,0.9402,-15039.8486328125
5,150000,0.0003162278,0.9399,-14825.841186523438
6,175000,0.00017782794,0.9398,-14769.096923828125
7,200000,0.000100000005,0.9402,-14722.138671875
8,225000,5.6234137e-05,0.9398,-14695.541015625
9,250000,3.1622774e-05,0.9399,-14682.174926757812
10,275000,1.7782793e-05,0.9396,-14673.921752929688
11,300000,1.0000001e-05,0.9399,-14666.688598632812
