Entry,global_step,lr,test_accuracy,train_log_likelihood
0,5000,0.0063095735,0.9803,-2285265.0693359375
1,10000,0.0039810715,0.9822,-1722687.8681640625
2,15000,0.0025118869,0.9835,-1501498.4936523438
3,20000,0.0015848934,0.9849,-1296746.1967773438
4,25000,0.001,0.986,-1204238.7509765625
5,30000,0.0006309575,0.9862,-1130606.4013671875
6,35000,0.0003981072,0.9861,-1092163.4711914062
7,40000,0.0002511887,0.9865,-1058692.0966796875
8,45000,0.00015848932,0.9859,-1044691.4311523438
9,50000,0.000100000005,0.9864,-1032693.7431640625
10,55000,6.309573e-05,0.9865,-1026785.6337890625
11,60000,3.981073e-05,0.9862,-1022940.8774414062
12,65000,2.511887e-05,0.9865,-1020655.3627929688
13,70000,1.5848935e-05,0.9863,-1019504.2314453125
14,75000,1.0000001e-05,0.9865,-1018699.2578125
