Entry,global_step,test_accuracy
0,25000,0.6101
1,50000,0.644
2,75000,0.6639
3,100000,0.6782
4,125000,0.7166
5,150000,0.7203
6,175000,0.7224
7,200000,0.7249
8,225000,0.7251
9,250000,0.7245
