Entry,global_step,test_accuracy
0,25000,0.6424
1,50000,0.6718
2,75000,0.691
3,100000,0.7076
4,125000,0.7334
5,150000,0.7365
6,175000,0.7383
7,200000,0.7369
8,225000,0.7373
9,250000,0.7385
