Entry,global_step,lr,test_accuracy,train_log_likelihood
0,5000,0.0063095735,0.9721,-2610003.9384765625
1,10000,0.0039810715,0.9754,-2298347.8505859375
2,15000,0.0025118869,0.9754,-2144874.1318359375
3,20000,0.0015848934,0.9784,-1839084.974609375
4,25000,0.001,0.9781,-1772104.1806640625
5,30000,0.0006309575,0.9803,-1689167.798828125
6,35000,0.0003981072,0.981,-1658382.0971679688
7,40000,0.0002511887,0.981,-1621711.6474609375
8,45000,0.00015848932,0.9807,-1606170.5952148438
9,50000,0.000100000005,0.9809,-1597252.3032226562
10,55000,6.309573e-05,0.9809,-1592264.2763671875
11,60000,3.981073e-05,0.9809,-1589971.4072265625
12,65000,2.511887e-05,0.9807,-1585678.7163085938
13,70000,1.5848935e-05,0.9809,-1583304.4038085938
14,75000,1.0000001e-05,0.9809,-1582675.8334960938
