Entry,global_step,lr,test_accuracy,train_log_likelihood
0,25000,0.0056234132,0.9682,-276080.4704589844
1,50000,0.0031622776,0.9692,-237491.365234375
2,75000,0.0017782793,0.969,-224284.45239257812
3,100000,0.001,0.9705,-210989.61865234375
4,125000,0.0005623413,0.9695,-204510.36328125
5,150000,0.0003162278,0.9698,-199274.54736328125
6,175000,0.00017782794,0.9692,-197346.849609375
7,200000,0.000100000005,0.9696,-196715.09838867188
8,225000,5.6234137e-05,0.9686,-195667.60400390625
9,250000,3.1622774e-05,0.9693,-195375.99389648438
10,275000,1.7782793e-05,0.9687,-195156.24951171875
11,300000,1.0000001e-05,0.9686,-195010.0341796875
